image_name,runtime,ressource_limit,mean,std,konf_intervall_unten,konf_intervall_oben,abweichung,type,docker_abweichung
node-express,runnc,default,"2,81","0,26","2,74","2,89","2,69",up,"352,23"
node-express,runnc,max,"2,81","0,46","2,68","2,94","4,65",up,"339,04"
node-express,runnc,min,"2,77","0,27","2,69","2,84","2,76",up,"346,04"
node-express,runsc,default,"0,85","0,04","0,84","0,86","1,29",up,"106,06"
node-express,runsc,max,"0,85","0,04","0,83","0,86","1,33",up,"102,09"
node-express,runsc,min,"0,86","0,04","0,85","0,87","1,41",up,"107,73"
postgres,default,default,"0,84","0,05","0,82","0,85","1,82",up,"100,0"
postgres,default,max,"0,83","0,03","0,82","0,84","0,99",up,"100,0"
postgres,default,min,"0,82","0,06","0,81","0,84","2,17",up,"100,0"
postgres,kata,default,"1,31","0,04","1,3","1,32","0,87",up,"156,76"
postgres,kata,max,"1,79","0,15","1,74","1,83","2,35",up,"214,87"
postgres,kata,min,"1,37","0,05","1,35","1,38","1,02",up,"166,08"
postgres,katafc,default,"2,55","0,05","2,53","2,56","0,52",up,"304,81"
postgres,katafc,max,"2,57","0,07","2,55","2,59","0,76",up,"309,04"
postgres,katafc,min,"2,56","0,06","2,54","2,58","0,71",up,"310,8"
postgres,runsc,default,"0,88","0,03","0,87","0,89","1,12",up,"104,85"
postgres,runsc,max,"0,9","0,06","0,89","0,92","2,04",up,"108,87"
postgres,runsc,min,"0,88","0,04","0,87","0,89","1,23",up,"107,39"
python-tornado,default,default,"0,81","0,03","0,8","0,82","1,2",up,"100,0"
python-tornado,default,max,"0,8","0,03","0,79","0,81","1,19",up,"100,0"
python-tornado,default,min,"0,81","0,05","0,79","0,82","1,92",up,"100,0"
python-tornado,kata,default,"1,29","0,05","1,28","1,3","1,05",up,"158,63"
python-tornado,kata,max,"1,71","0,06","1,7","1,73","0,95",up,"214,09"
python-tornado,kata,min,"1,35","0,04","1,34","1,36","0,77",up,"167,17"
python-tornado,katafc,default,"2,53","0,05","2,51","2,54","0,53",up,"310,91"
python-tornado,katafc,max,"2,52","0,05","2,51","2,54","0,61",up,"315,02"
python-tornado,katafc,min,"2,52","0,05","2,51","2,53","0,55",up,"312,13"
python-tornado,runnc,default,"1,1","0,16","1,05","1,14","4,08",up,"134,84"
python-tornado,runnc,max,"1,09","0,12","1,05","1,12","3,13",up,"135,74"
python-tornado,runnc,min,"1,09","0,14","1,05","1,13","3,73",up,"135,35"
python-tornado,runsc,default,"0,85","0,05","0,83","0,86","1,81",up,"104,33"
python-tornado,runsc,max,"0,85","0,05","0,84","0,87","1,66",up,"106,61"
python-tornado,runsc,min,"0,83","0,04","0,82","0,84","1,26",up,"103,03"
