runtime,image_name,ressource_limit,number_of_targets,std,mean,abweichung_in_prozent,konf_intervall_unten,konf_intervall_oben,docker_abweichung
runnc,python-tornado,max,2,153.74,3831.21,1.15,3787.27,3875.15,107.15
runnc,python-tornado,max,3,307.68,5429.65,1.62,5341.71,5517.59,104.0
runnc,python-tornado,max,5,163.29,7988.9,0.58,7942.23,8035.57,104.31
runnc,python-tornado,max,8,393.48,8782.33,1.28,8669.86,8894.79,106.03
runnc,python-tornado,min,1,117.12,1988.83,1.68,1955.36,2022.31,108.88
runnc,python-tornado,min,2,202.38,3830.4,1.51,3772.56,3888.25,107.3
runnc,python-tornado,min,3,189.83,5603.35,0.97,5549.09,5657.61,107.05
runnc,python-tornado,min,5,164.27,8060.35,0.58,8013.4,8107.3,105.28
runnc,python-tornado,min,8,391.95,8890.5,1.26,8778.47,9002.52,107.3
runsc,go-httpd,default,1,48.29,7598.78,0.18,7584.98,7612.58,36.16
runsc,go-httpd,default,2,67.06,8545.24,0.22,8526.08,8564.41,31.89
runsc,go-httpd,default,3,72.71,9931.41,0.21,9910.62,9952.19,38.0
runsc,go-httpd,default,5,62.59,11496.54,0.16,11478.65,11514.43,44.51
runsc,go-httpd,default,8,97.11,10398.54,0.27,10370.78,10426.29,38.39
runsc,go-httpd,default,13,77.8,11179.13,0.2,11156.89,11201.37,38.74
runsc,go-httpd,default,21,94.72,12814.99,0.21,12787.91,12842.06,40.34
runsc,go-httpd,max,1,42.62,7731.29,0.16,7719.11,7743.47,35.44
runsc,go-httpd,max,2,46.52,8670.54,0.15,8657.24,8683.83,31.67
runsc,go-httpd,max,3,48.34,10076.83,0.14,10063.02,10090.65,37.64
runsc,go-httpd,max,5,69.01,11582.17,0.17,11562.44,11601.89,43.7
runsc,go-httpd,max,8,96.34,10422.17,0.26,10394.63,10449.7,37.85
runsc,go-httpd,max,13,98.3,11266.68,0.25,11238.59,11294.77,38.69
runsc,go-httpd,max,21,116.64,13005.32,0.26,12971.99,13038.66,40.63
runsc,go-httpd,min,1,3.97,491.33,0.23,490.19,492.46,18.25
runsc,go-httpd,min,2,5.39,1094.93,0.14,1093.38,1096.47,6.17
runsc,go-httpd,min,3,11.58,1589.34,0.21,1586.03,1592.65,6.33
