"runtime","image_name","ressource_limit","repeat","gflops","filepath"
"default","linpack","max","6","4.7099e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_6/linpack.txt"
"default","linpack","max","7","4.6852e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_7/linpack.txt"
"default","linpack","max","8","4.7021e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_8/linpack.txt"
"default","linpack","max","9","4.7105e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/default/linpack/repeat_9/linpack.txt"
"kata","linpack","max","1","4.6176e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_1/linpack.txt"
"kata","linpack","max","10","4.6301e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_10/linpack.txt"
"kata","linpack","max","11","4.6163e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_11/linpack.txt"
"kata","linpack","max","12","4.6200e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_12/linpack.txt"
"kata","linpack","max","13","4.6353e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_13/linpack.txt"
"kata","linpack","max","14","4.6220e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_14/linpack.txt"
"kata","linpack","max","15","4.6294e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_15/linpack.txt"
"kata","linpack","max","16","4.6232e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_16/linpack.txt"
"kata","linpack","max","17","4.6291e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_17/linpack.txt"
"kata","linpack","max","18","4.6129e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_18/linpack.txt"
"kata","linpack","max","19","4.6237e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_19/linpack.txt"
"kata","linpack","max","2","4.6173e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_2/linpack.txt"
"kata","linpack","max","20","4.6125e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_20/linpack.txt"
"kata","linpack","max","21","4.6143e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_21/linpack.txt"
"kata","linpack","max","22","4.5244e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_22/linpack.txt"
"kata","linpack","max","23","4.6227e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_23/linpack.txt"
"kata","linpack","max","24","4.6341e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_24/linpack.txt"
"kata","linpack","max","25","4.6194e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_25/linpack.txt"
"kata","linpack","max","26","4.6519e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_26/linpack.txt"
"kata","linpack","max","27","4.6103e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_27/linpack.txt"
"kata","linpack","max","28","4.6204e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_28/linpack.txt"
"kata","linpack","max","29","4.6295e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_29/linpack.txt"
"kata","linpack","max","3","4.6152e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_3/linpack.txt"
"kata","linpack","max","30","4.5222e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_30/linpack.txt"
"kata","linpack","max","31","4.6167e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_31/linpack.txt"
"kata","linpack","max","32","4.6392e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_32/linpack.txt"
"kata","linpack","max","33","4.6327e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_33/linpack.txt"
"kata","linpack","max","34","4.6388e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_34/linpack.txt"
"kata","linpack","max","35","4.6165e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_35/linpack.txt"
"kata","linpack","max","4","4.6276e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_4/linpack.txt"
"kata","linpack","max","5","4.6168e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_5/linpack.txt"
"kata","linpack","max","6","4.6196e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_6/linpack.txt"
"kata","linpack","max","7","4.6135e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_7/linpack.txt"
"kata","linpack","max","8","4.6142e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_8/linpack.txt"
"kata","linpack","max","9","4.6171e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/kata/linpack/repeat_9/linpack.txt"
"katafc","linpack","max","1","1.1997e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_1/linpack.txt"
"katafc","linpack","max","10","1.2012e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_10/linpack.txt"
"katafc","linpack","max","11","1.2022e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_11/linpack.txt"
"katafc","linpack","max","12","1.2016e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_12/linpack.txt"
"katafc","linpack","max","13","1.2028e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_13/linpack.txt"
"katafc","linpack","max","14","1.2020e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_14/linpack.txt"
"katafc","linpack","max","15","1.2034e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_15/linpack.txt"
"katafc","linpack","max","16","1.2030e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_16/linpack.txt"
"katafc","linpack","max","17","1.2022e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_17/linpack.txt"
"katafc","linpack","max","18","1.2010e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_18/linpack.txt"
"katafc","linpack","max","19","1.2035e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_19/linpack.txt"
"katafc","linpack","max","2","1.2027e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_2/linpack.txt"
"katafc","linpack","max","20","1.2001e+01","/opt/auswertung/Raw/bench_linpack_repeat35/max/katafc/linpack/repeat_20/linpack.txt"
