runtime,image_name,ressource_limit,number_of_targets,std,mean,abweichung_in_prozent,konf_intervall_unten,konf_intervall_oben,docker_abweichung
katafc,python-tornado,max,2,"31,13","1524,54","0,58","1515,65","1533,44","103,72"
katafc,python-tornado,max,3,"6,29","1534,89","0,12","1533,09","1536,68","103,72"
katafc,python-tornado,max,5,"22,69","1681,77","0,39","1675,29","1688,26","103,23"
katafc,python-tornado,max,8,"32,18","1930,49","0,48","1921,29","1939,68","101,15"
katafc,python-tornado,max,13,"57,34","2384,51","0,69","2368,13","2400,9","96,25"
katafc,python-tornado,max,21,"113,17","3248,09","1,0","3215,74","3280,43","88,49"
katafc,python-tornado,min,1,"704,78","1970,86","10,22","1769,42","2172,29","109,03"
katafc,python-tornado,min,2,"26,23","1342,43","0,56","1334,93","1349,92","97,65"
katafc,python-tornado,min,3,"12,99","1327,37","0,28","1323,66","1331,08","95,49"
katafc,python-tornado,min,5,"19,66","1458,86","0,39","1453,24","1464,48","94,09"
katafc,python-tornado,min,8,"41,96","1728,23","0,69","1716,24","1740,22","94,38"
katafc,python-tornado,min,13,"49,12","2145,91","0,65","2131,88","2159,95","89,29"
katafc,python-tornado,min,21,"112,94","3016,91","1,07","2984,63","3049,19","83,54"
runnc,go-httpd,default,1,"7,09","321,17","0,63","319,14","323,2","76,76"
runnc,go-httpd,default,2,"10,26","426,17","0,69","423,24","429,1","90,13"
runnc,go-httpd,default,3,"10,47","532,69","0,56","529,69","535,68","100,31"
runnc,go-httpd,default,5,"16,99","694,8","0,7","689,94","699,66","103,7"
runnc,go-httpd,default,8,"39,13","916,26","1,22","905,07","927,44","92,66"
runnc,go-httpd,default,13,"31,7","1318,31","0,69","1309,25","1327,37","77,42"
runnc,go-httpd,default,21,"364,94","3681,43","2,83","3577,12","3785,73","114,95"
runnc,go-httpd,max,1,"12,25","328,6","1,07","325,1","332,1","111,16"
runnc,go-httpd,max,2,"8,11","447,0","0,52","444,68","449,32","125,34"
runnc,go-httpd,max,3,"24,41","574,09","1,22","567,11","581,06","136,56"
runnc,go-httpd,max,5,"46,74","788,11","1,7","774,76","801,47","138,74"
runnc,go-httpd,max,8,"35,51","1016,46","1,0","1006,31","1026,61","115,11"
runnc,go-httpd,max,13,"20,82","1471,49","0,4","1465,54","1477,44","91,42"
runnc,go-httpd,max,21,"369,59","3845,34","2,75","3739,71","3950,98","118,2"
runnc,go-httpd,min,1,"6,94","322,11","0,62","320,13","324,1","112,94"
runnc,go-httpd,min,2,"15,36","432,74","1,01","428,35","437,13","126,27"
runnc,go-httpd,min,3,"8,68","547,66","0,45","545,18","550,14","131,86"
runnc,go-httpd,min,5,"14,63","719,29","0,58","715,1","723,47","127,19"
runnc,go-httpd,min,8,"13,45","931,97","0,41","928,13","935,82","107,14"
runnc,go-httpd,min,13,"33,16","1351,66","0,7","1342,18","1361,13","85,12"
runnc,go-httpd,min,21,"426,55","3526,43","3,46","3404,51","3648,34","110,53"
runnc,python-tornado,default,1,"5,97","328,46","0,52","326,75","330,16","16,14"
runnc,python-tornado,default,2,"6,2","418,71","0,42","416,94","420,49","27,24"
runnc,python-tornado,default,3,"7,79","522,46","0,43","520,23","524,68","34,21"
runnc,python-tornado,default,5,"21,06","773,49","0,78","767,47","779,51","46,74"
runnc,python-tornado,default,8,"45,92","1244,09","1,05","1230,96","1257,21","64,76"
runnc,python-tornado,max,1,"7,85","326,57","0,69","324,33","328,81","16,51"
runnc,python-tornado,max,2,"7,82","436,06","0,51","433,82","438,29","29,67"
runnc,python-tornado,max,3,"7,18","549,63","0,37","547,58","551,68","37,14"
runnc,python-tornado,max,5,"22,78","832,29","0,78","825,77","838,8","51,09"
runnc,python-tornado,max,8,"45,54","1337,34","0,97","1324,33","1350,36","70,07"
runnc,python-tornado,min,1,"8,66","315,63","0,78","313,15","318,1","17,46"
runnc,python-tornado,min,2,"7,27","413,6","0,5","411,52","415,68","30,09"
runnc,python-tornado,min,3,"10,78","521,46","0,59","518,38","524,54","37,51"
runnc,python-tornado,min,5,"21,65","788,46","0,78","782,27","794,65","50,85"
runnc,python-tornado,min,8,"45,92","1266,71","1,04","1253,59","1279,84","69,18"
runsc,go-httpd,default,1,"21,88","1563,46","0,4","1557,2","1569,71","373,68"
runsc,go-httpd,default,2,"11,92","1668,43","0,2","1665,02","1671,84","352,86"
runsc,go-httpd,default,3,"18,88","1843,29","0,29","1837,89","1848,68","347,1"
runsc,go-httpd,default,5,"38,17","2292,54","0,48","2281,63","2303,45","342,15"
runsc,go-httpd,default,8,"49,46","2919,97","0,48","2905,84","2934,11","295,29"
runsc,go-httpd,default,13,"89,01","3947,51","0,64","3922,07","3972,95","231,81"
runsc,go-httpd,default,21,"191,99","5994,37","0,92","5939,5","6049,25","187,16"
runsc,go-httpd,max,1,"6,43","321,51","0,57","319,68","323,35","108,77"
